时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-10 16:38:33,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
"('2021-09-01', '2021-09-01 10:08')",BUY,8.95,1117.31843575419,1117.31843575419,8.95,0.0,10000.0
"('2021-09-01', '2021-09-01 10:13')",SELL,8.95,1117.31843575419,0.0,0.0,0.0,10000.0
"('2021-09-01', '2021-09-01 10:16')",BUY,8.93,1119.8208286674133,1119.8208286674133,8.93,0.0,10000.0
"('2021-09-01', '2021-09-01 15:00')",SELL,9.06,1119.8208286674133,0.0,0.0,145.5767077267646,10145.576707726765
"('2021-09-02', '2021-09-02 09:31')",BUY,9.04,1122.2983083768545,1122.2983083768545,9.04,0.0,10145.576707726765
"('2021-09-02', '2021-09-02 10:28')",SELL,9.04,1122.2983083768545,0.0,0.0,0.0,10145.576707726765
"('2021-09-02', '2021-09-02 10:29')",BUY,9.04,1122.2983083768545,1122.2983083768545,9.04,0.0,10145.576707726765
"('2021-09-03', '2021-09-03 13:23')",SELL,9.04,1122.2983083768545,0.0,0.0,0.0,10145.576707726765
"('2021-09-03', '2021-09-03 13:24')",BUY,9.04,1122.2983083768545,1122.2983083768545,9.04,0.0,10145.576707726765
"('2021-09-06', '2021-09-06 13:51')",SELL,9.03,1122.2983083768545,0.0,0.0,-11.222983083768305,10134.353724642997
"('2021-09-06', '2021-09-06 13:53')",BUY,9.02,1123.5425415347004,1123.5425415347004,9.02,0.0,10134.353724642997
"('2021-09-07', '2021-09-07 09:39')",SELL,9.1,1123.5425415347004,0.0,0.0,89.8834033227761,10224.237127965773
"('2021-09-07', '2021-09-07 09:43')",BUY,9.08,1126.0173048420454,1126.0173048420454,9.08,0.0,10224.237127965773
"('2021-09-07', '2021-09-07 10:16')",SELL,9.08,1126.0173048420454,0.0,0.0,0.0,10224.237127965773
"('2021-09-07', '2021-09-07 10:18')",BUY,9.09,1124.7785619324284,1124.7785619324284,9.09,0.0,10224.237127965773
"('2021-09-07', '2021-09-07 10:42')",SELL,9.07,1124.7785619324284,0.0,0.0,-22.49557123864809,10201.741556727125
"('2021-09-07', '2021-09-07 10:43')",BUY,9.08,1123.5398190228111,1123.5398190228111,9.08,0.0,10201.741556727125
"('2021-09-07', '2021-09-07 10:56')",SELL,9.09,1123.5398190228111,0.0,0.0,11.23539819022787,10212.976954917352
"('2021-09-07', '2021-09-07 10:58')",BUY,9.08,1124.7771976781225,1124.7771976781225,9.08,0.0,10212.976954917352
"('2021-09-07', '2021-09-07 13:47')",SELL,9.09,1124.7771976781225,0.0,0.0,11.247771976780985,10224.224726894134
"('2021-09-07', '2021-09-07 13:48')",BUY,9.09,1124.7771976781225,1124.7771976781225,9.09,0.0,10224.224726894134
"('2021-09-07', '2021-09-07 14:13')",SELL,9.1,1124.7771976781225,0.0,0.0,11.247771976780985,10235.472498870915
"('2021-09-07', '2021-09-07 14:14')",BUY,9.1,1124.7771976781225,1124.7771976781225,9.1,0.0,10235.472498870915
"('2021-09-07', '2021-09-07 14:30')",SELL,9.1,1124.7771976781225,0.0,0.0,0.0,10235.472498870915
"('2021-09-07', '2021-09-07 14:31')",BUY,9.1,1124.7771976781225,1124.7771976781225,9.1,0.0,10235.472498870915
"('2021-09-07', '2021-09-07 14:51')",SELL,9.09,1124.7771976781225,0.0,0.0,-11.247771976780985,10224.224726894134
"('2021-09-07', '2021-09-07 14:53')",BUY,9.09,1124.7771976781225,1124.7771976781225,9.09,0.0,10224.224726894134
"('2021-09-08', '2021-09-08 10:42')",SELL,9.11,1124.7771976781225,0.0,0.0,22.49554395356197,10246.720270847696
"('2021-09-08', '2021-09-08 10:43')",BUY,9.11,1124.7771976781225,1124.7771976781225,9.11,0.0,10246.720270847696
"('2021-09-08', '2021-09-08 13:03')",SELL,9.12,1124.7771976781225,0.0,0.0,11.247771976780985,10257.968042824477
"('2021-09-08', '2021-09-08 13:05')",BUY,9.12,1124.7771976781225,1124.7771976781225,9.12,0.0,10257.968042824477
"('2021-09-08', '2021-09-08 13:58')",SELL,9.18,1124.7771976781225,0.0,0.0,67.48663186068791,10325.454674685165
"('2021-09-08', '2021-09-08 14:02')",BUY,9.18,1124.7771976781225,1124.7771976781225,9.18,0.0,10325.454674685165
"('2021-09-09', '2021-09-09 10:01')",SELL,9.17,1124.7771976781225,0.0,0.0,-11.247771976780985,10314.206902708383
"('2021-09-09', '2021-09-09 10:03')",BUY,9.16,1126.0051203830112,1126.0051203830112,9.16,0.0,10314.206902708383
"('2021-09-09', '2021-09-09 13:53')",SELL,9.17,1126.0051203830112,0.0,0.0,11.260051203829873,10325.466953912213
"('2021-09-09', '2021-09-09 13:55')",BUY,9.17,1126.0051203830112,1126.0051203830112,9.17,0.0,10325.466953912213
"('2021-09-10', '2021-09-10 10:46')",SELL,9.17,1126.0051203830112,0.0,0.0,0.0,10325.466953912213
"('2021-09-10', '2021-09-10 10:47')",BUY,9.17,1126.0051203830112,1126.0051203830112,9.17,0.0,10325.466953912213
"('2021-09-10', '2021-09-10 13:26')",SELL,9.16,1126.0051203830112,0.0,0.0,-11.260051203829873,10314.206902708383
"('2021-09-10', '2021-09-10 13:28')",BUY,9.16,1126.0051203830112,1126.0051203830112,9.16,0.0,10314.206902708383
