时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-10 16:43:45,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
"('2021-09-06', '2021-09-06 10:10')",BUY,8.98,1113.5857461024498,1113.5857461024498,8.98,0.0,10000.0
"('2021-09-06', '2021-09-06 13:51')",SELL,9.03,1113.5857461024498,0.0,0.0,55.6792873051213,10055.679287305122
"('2021-09-06', '2021-09-06 13:53')",BUY,9.02,1114.8203201003462,1114.8203201003462,9.02,0.0,10055.679287305122
"('2021-09-07', '2021-09-07 09:39')",SELL,9.1,1114.8203201003462,0.0,0.0,89.18562560802778,10144.86491291315
"('2021-09-07', '2021-09-07 09:43')",BUY,9.08,1117.275871466206,1117.275871466206,9.08,0.0,10144.86491291315
"('2021-09-07', '2021-09-07 10:16')",SELL,9.08,1117.275871466206,0.0,0.0,0.0,10144.86491291315
"('2021-09-07', '2021-09-07 10:18')",BUY,9.09,1116.0467450949561,1116.0467450949561,9.09,0.0,10144.86491291315
"('2021-09-07', '2021-09-07 10:42')",SELL,9.07,1116.0467450949561,0.0,0.0,-22.320934901898646,10122.543978011252
"('2021-09-07', '2021-09-07 10:43')",BUY,9.08,1114.8176187237061,1114.8176187237061,9.08,0.0,10122.543978011252
"('2021-09-07', '2021-09-07 10:56')",SELL,9.09,1114.8176187237061,0.0,0.0,11.148176187236823,10133.692154198488
"('2021-09-07', '2021-09-07 10:58')",BUY,9.08,1116.0453914315515,1116.0453914315515,9.08,0.0,10133.692154198488
"('2021-09-07', '2021-09-07 13:47')",SELL,9.09,1116.0453914315515,0.0,0.0,11.160453914315276,10144.852608112804
"('2021-09-07', '2021-09-07 13:48')",BUY,9.09,1116.0453914315517,1116.0453914315517,9.09,0.0,10144.852608112804
"('2021-09-07', '2021-09-07 14:13')",SELL,9.1,1116.0453914315517,0.0,0.0,11.16045391431528,10156.01306202712
"('2021-09-07', '2021-09-07 14:14')",BUY,9.1,1116.0453914315517,1116.0453914315517,9.1,0.0,10156.01306202712
"('2021-09-07', '2021-09-07 14:30')",SELL,9.1,1116.0453914315517,0.0,0.0,0.0,10156.01306202712
"('2021-09-07', '2021-09-07 14:31')",BUY,9.1,1116.0453914315517,1116.0453914315517,9.1,0.0,10156.01306202712
"('2021-09-07', '2021-09-07 14:51')",SELL,9.09,1116.0453914315517,0.0,0.0,-11.16045391431528,10144.852608112804
"('2021-09-07', '2021-09-07 14:53')",BUY,9.09,1116.0453914315517,1116.0453914315517,9.09,0.0,10144.852608112804
"('2021-09-08', '2021-09-08 10:42')",SELL,9.11,1116.0453914315517,0.0,0.0,22.32090782863056,10167.173515941435
"('2021-09-08', '2021-09-08 10:43')",BUY,9.11,1116.0453914315517,1116.0453914315517,9.11,0.0,10167.173515941435
"('2021-09-08', '2021-09-08 13:03')",SELL,9.12,1116.0453914315517,0.0,0.0,11.16045391431528,10178.33396985575
"('2021-09-08', '2021-09-08 13:05')",BUY,9.12,1116.0453914315517,1116.0453914315517,9.12,0.0,10178.33396985575
"('2021-09-08', '2021-09-08 13:58')",SELL,9.18,1116.0453914315517,0.0,0.0,66.96272348589366,10245.296693341645
"('2021-09-08', '2021-09-08 14:02')",BUY,9.18,1116.0453914315517,1116.0453914315517,9.18,0.0,10245.296693341645
"('2021-09-09', '2021-09-09 10:01')",SELL,9.17,1116.0453914315517,0.0,0.0,-11.16045391431528,10234.13623942733
"('2021-09-09', '2021-09-09 10:03')",BUY,9.16,1117.2637815968699,1117.2637815968699,9.16,0.0,10234.13623942733
"('2021-09-09', '2021-09-09 13:53')",SELL,9.17,1117.2637815968699,0.0,0.0,11.17263781596846,10245.308877243298
"('2021-09-09', '2021-09-09 13:55')",BUY,9.17,1117.26378159687,1117.26378159687,9.17,0.0,10245.308877243298
"('2021-09-10', '2021-09-10 10:46')",SELL,9.17,1117.26378159687,0.0,0.0,0.0,10245.308877243298
"('2021-09-10', '2021-09-10 10:47')",BUY,9.17,1117.26378159687,1117.26378159687,9.17,0.0,10245.308877243298
"('2021-09-10', '2021-09-10 13:26')",SELL,9.16,1117.26378159687,0.0,0.0,-11.172637815968463,10234.13623942733
"('2021-09-10', '2021-09-10 13:28')",BUY,9.16,1117.2637815968699,1117.2637815968699,9.16,0.0,10234.13623942733
