时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-10 16:41:40,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
"('2021-09-09', '2021-09-09 10:03')",BUY,9.16,1091.703056768559,1091.703056768559,9.16,0.0,10000.0
"('2021-09-09', '2021-09-09 13:53')",SELL,9.17,1091.703056768559,0.0,0.0,10.917030567685357,10010.917030567685
"('2021-09-09', '2021-09-09 13:55')",BUY,9.17,1091.703056768559,1091.703056768559,9.17,0.0,10010.917030567685
"('2021-09-10', '2021-09-10 10:46')",SELL,9.17,1091.703056768559,0.0,0.0,0.0,10010.917030567685
"('2021-09-10', '2021-09-10 10:47')",BUY,9.17,1091.703056768559,1091.703056768559,9.17,0.0,10010.917030567685
"('2021-09-10', '2021-09-10 13:26')",SELL,9.16,1091.703056768559,0.0,0.0,-10.917030567685357,10000.0
"('2021-09-10', '2021-09-10 13:28')",BUY,9.16,1091.703056768559,1091.703056768559,9.16,0.0,10000.0
