时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-10 23:49:39,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 10:00,BUY,18.53,540.2485143165856,540.2485143165856,18.51,0.0,10000.0
2021-09-01 10:02,SELL,18.62,540.2485143165856,0.0,0.0,70.23230686115558,10070.232306861155
2021-09-01 10:05,BUY,18.71,538.8032266913406,538.8032266913406,18.69,0.0,10070.232306861155
2021-09-01 10:06,SELL,18.67,538.8032266913406,0.0,0.0,0.0,10070.232306861155
2021-09-01 10:07,BUY,18.68,539.6694698210694,539.6694698210694,18.66,0.0,10070.232306861155
2021-09-01 10:21,SELL,18.48,539.6694698210694,0.0,0.0,-86.34711517137117,9983.885191689784
2021-09-01 10:23,BUY,18.46,541.4254442348039,541.4254442348039,18.44,0.0,9983.885191689784
2021-09-01 10:24,SELL,18.41,541.4254442348039,0.0,0.0,-5.414254442348885,9978.470937247435
2021-09-01 10:32,BUY,18.52,539.3768074187803,539.3768074187803,18.5,0.0,9978.470937247435
2021-09-01 10:45,SELL,18.32,539.3768074187803,0.0,0.0,-86.30028918700494,9892.17064806043
2021-09-01 10:50,BUY,18.32,540.5557731180562,540.5557731180562,18.3,0.0,9892.17064806043
2021-09-01 10:52,SELL,18.38,540.5557731180562,0.0,0.0,54.05557731180447,9946.226225372235
2021-09-01 10:53,BUY,18.39,541.4385533681129,541.4385533681129,18.37,0.0,9946.226225372235
2021-09-01 11:22,SELL,18.36,541.4385533681129,0.0,0.0,5.414385533680052,9951.640610905915
2021-09-01 13:02,BUY,18.41,541.1441332738399,541.1441332738399,18.39,0.0,9951.640610905915
2021-09-01 13:23,SELL,18.39,541.1441332738399,0.0,0.0,10.822882665476566,9962.463493571391
2021-09-01 13:28,BUY,18.419999999999998,541.4382333462713,541.4382333462713,18.4,0.0,9962.463493571391
2021-09-01 14:12,SELL,18.62,541.4382333462713,0.0,0.0,129.94517600310618,10092.408669574497
2021-09-01 14:15,BUY,18.669999999999998,541.1479179396514,541.1479179396514,18.65,0.0,10092.408669574497
2021-09-01 14:29,SELL,18.59,541.1479179396514,0.0,0.0,-21.645916717585596,10070.762752856912
2021-09-01 14:30,BUY,18.63,541.1479179396514,541.1479179396514,18.61,0.0,10070.762752856912
2021-09-01 14:50,SELL,18.62,541.1479179396514,0.0,0.0,16.234437538190157,10086.997190395103
2021-09-01 14:57,BUY,18.77,537.9731834877388,537.9731834877388,18.75,0.0,10086.997190395103
2021-09-02 09:40,SELL,18.580000000000002,537.9731834877388,0.0,0.0,-80.69597752316005,10006.301212871942
2021-09-02 09:44,BUY,18.52,540.8811466417266,540.8811466417266,18.5,0.0,10006.301212871942
2021-09-02 09:53,SELL,18.51,540.8811466417266,0.0,0.0,16.226434399252412,10022.527647271194
2021-09-02 09:58,BUY,18.48,542.9321585737374,542.9321585737374,18.46,0.0,10022.527647271194
2021-09-02 10:00,SELL,18.35,542.9321585737374,0.0,0.0,-48.86389427163629,9973.663752999557
2021-09-02 10:03,BUY,18.41,542.3416940184642,542.3416940184642,18.39,0.0,9973.663752999557
2021-09-02 13:14,SELL,18.79,542.3416940184642,0.0,0.0,227.78351148775394,10201.447264487311
2021-09-02 13:15,BUY,18.83,542.3416940184642,542.3416940184642,18.81,0.0,10201.447264487311
2021-09-02 13:27,SELL,18.69,542.3416940184642,0.0,0.0,-54.234169401845264,10147.213095085466
2021-09-02 13:29,BUY,18.77,541.1846984045582,541.1846984045582,18.75,0.0,10147.213095085466
2021-09-02 13:46,SELL,18.740000000000002,541.1846984045582,0.0,0.0,5.411846984046427,10152.624942069513
2021-09-02 13:47,BUY,18.78,541.1846984045583,541.1846984045583,18.76,0.0,10152.624942069513
2021-09-02 14:22,SELL,18.84,541.1846984045583,0.0,0.0,54.11846984045467,10206.743411909967
