时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-10 16:41:05,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
"('2021-09-10', '2021-09-10 10:00')",BUY,9.2,1086.9565217391305,1086.9565217391305,9.2,0.0,10000.0
"('2021-09-10', '2021-09-10 10:46')",SELL,9.17,1086.9565217391305,0.0,0.0,-32.60869565217322,9967.391304347826
"('2021-09-10', '2021-09-10 10:47')",BUY,9.17,1086.9565217391305,1086.9565217391305,9.17,0.0,9967.391304347826
"('2021-09-10', '2021-09-10 13:26')",SELL,9.16,1086.9565217391305,0.0,0.0,-10.869565217391074,9956.521739130434
"('2021-09-10', '2021-09-10 13:28')",BUY,9.16,1086.9565217391303,1086.9565217391303,9.16,0.0,9956.521739130434
